"League","Year","blueTeamTag","bResult","rResult","redTeamTag","id_mathinfo"
"NALCS","2016","IMT","0","1","CLG","479"
"NALCS","2016","IMT","1","0","CLG","480"
"NALCS","2016","P1","1","0","NRG","481"
"NALCS","2016","NRG","1","0","P1","482"
"NALCS","2016","P1","1","0","NRG","483"
"NALCS","2016","FOX","0","1","TSM","484"
"NALCS","2016","TSM","1","0","FOX","485"
"NALCS","2016","C9","0","1","APX","486"
"NALCS","2016","APX","0","1","C9","487"
"NALCS","2016","C9","1","0","APX","488"
"NALCS","2016","C9","0","1","CLG","489"
"NALCS","2016","CLG","0","1","C9","490"
"NALCS","2016","C9","0","1","CLG","491"
"NALCS","2016","TL","0","1","TSM","492"
"NALCS","2016","TSM","1","0","TL","493"
"NALCS","2016","NRG","1","0","NV","494"
"NALCS","2016","NV","0","1","NRG","495"
"NALCS","2016","P1","0","1","TL","496"
"NALCS","2016","TL","1","0","P1","497"
"NALCS","2016","IMT","1","0","FOX","498"
"NALCS","2016","FOX","0","1","IMT","499"
"NALCS","2016","NV","0","1","APX","500"
"NALCS","2016","APX","0","1","NV","501"
"NALCS","2016","NV","1","0","APX","502"
"NALCS","2016","IMT","1","0","NRG","503"
"NALCS","2016","NRG","0","1","IMT","504"
"NALCS","2016","FOX","1","0","APX","505"
"NALCS","2016","APX","1","0","FOX","506"
"NALCS","2016","FOX","0","1","APX","507"
"NALCS","2016","CLG","0","1","TL","508"
"NALCS","2016","TL","0","1","CLG","509"
"NALCS","2016","CLG","1","0","TL","510"
"NALCS","2016","TSM","1","0","P1","511"
"NALCS","2016","P1","1","0","TSM","512"
"NALCS","2016","TSM","0","1","P1","513"
"NALCS","2016","NRG","0","1","TL","514"
"NALCS","2016","TL","1","0","NRG","515"
"NALCS","2016","C9","1","0","P1","516"
"NALCS","2016","P1","0","1","C9","517"
"NALCS","2016","NV","0","1","C9","518"
"NALCS","2016","C9","1","0","NV","519"
"NALCS","2016","APX","0","1","IMT","520"
"NALCS","2016","IMT","1","0","APX","521"
"NALCS","2016","TSM","1","0","NV","522"
"NALCS","2016","NV","0","1","TSM","523"
"NALCS","2016","FOX","0","1","CLG","524"
"NALCS","2016","CLG","1","0","FOX","525"
"NALCS","2016","IMT","0","1","TSM","526"
"NALCS","2016","TSM","1","0","IMT","527"
"NALCS","2016","P1","0","1","NV","528"
"NALCS","2016","NV","0","1","P1","529"
"NALCS","2016","P1","1","0","NV","530"
"NALCS","2016","CLG","1","0","NRG","531"
"NALCS","2016","NRG","1","0","CLG","532"
"NALCS","2016","CLG","1","0","NRG","533"
"NALCS","2016","C9","1","0","FOX","534"
"NALCS","2016","FOX","0","1","C9","535"
"NALCS","2016","TSM","1","0","NRG","536"
"NALCS","2016","NRG","1","0","TSM","537"
"NALCS","2016","TSM","1","0","NRG","538"
"NALCS","2016","TL","0","1","C9","539"
"NALCS","2016","C9","1","0","TL","540"
"NALCS","2016","APX","1","0","TL","541"
"NALCS","2016","TL","1","0","APX","542"
"NALCS","2016","APX","1","0","TL","543"
"NALCS","2016","P1","1","0","IMT","544"
"NALCS","2016","IMT","1","0","P1","545"
"NALCS","2016","P1","0","1","IMT","546"
"NALCS","2016","CLG","1","0","APX","547"
"NALCS","2016","APX","1","0","CLG","548"
"NALCS","2016","CLG","0","1","APX","549"
"NALCS","2016","NV","1","0","FOX","550"
"NALCS","2016","FOX","0","1","NV","551"
"NALCS","2016","C9","1","0","TSM","552"
"NALCS","2016","TSM","1","0","C9","553"
"NALCS","2016","C9","0","1","TSM","554"
"NALCS","2016","TSM","1","0","C9","555"
"NALCS","2016","TL","1","0","NRG","556"
"NALCS","2016","NRG","0","1","TL","557"
"NALCS","2016","TL","1","0","NRG","558"
"NALCS","2016","CLG","0","1","TL","559"
"NALCS","2016","TL","0","1","CLG","560"
"NALCS","2016","CLG","1","0","TL","561"
"NALCS","2016","TL","1","0","CLG","562"
"NALCS","2016","CLG","1","0","TL","563"
"NALCS","2016","IMT","0","1","TSM","564"
"NALCS","2016","TSM","1","0","IMT","565"
"NALCS","2016","IMT","0","1","TSM","566"
"NALCS","2016","IMT","1","0","TL","567"
"NALCS","2016","TL","0","1","IMT","568"
"NALCS","2016","IMT","1","0","TL","569"
"NALCS","2016","CLG","1","0","TSM","570"
"NALCS","2016","TSM","1","0","CLG","571"
"NALCS","2016","CLG","1","0","TSM","572"
"NALCS","2016","TSM","1","0","CLG","573"
"NALCS","2016","CLG","1","0","TSM","574"
"NALCS","2016","C9","0","1","NV","575"
"NALCS","2016","C9","1","0","NV","576"
"NALCS","2016","C9","1","0","NV","577"
"NALCS","2016","NV","0","1","C9","578"
"NALCS","2016","CLG","1","0","TL","579"
"NALCS","2016","CLG","1","0","TL","580"
"NALCS","2016","CLG","0","1","TL","581"
"NALCS","2016","CLG","1","0","TL","582"
"NALCS","2016","IMT","1","0","C9","583"
"NALCS","2016","C9","1","0","IMT","584"
"NALCS","2016","IMT","0","1","C9","585"
"NALCS","2016","C9","0","1","IMT","586"
"NALCS","2016","IMT","0","1","C9","587"
"NALCS","2016","TSM","1","0","CLG","588"
"NALCS","2016","CLG","0","1","TSM","589"
"NALCS","2016","TSM","1","0","CLG","590"
"NALCS","2016","IMT","0","1","CLG","591"
"NALCS","2016","CLG","0","1","IMT","592"
"NALCS","2016","CLG","0","1","IMT","593"
"NALCS","2016","CLG","1","0","IMT","594"
"NALCS","2016","IMT","1","0","CLG","595"
"NALCS","2016","TSM","0","1","C9","596"
"NALCS","2016","C9","0","1","TSM","597"
"NALCS","2016","TSM","1","0","C9","598"
"NALCS","2016","C9","0","1","TSM","599"
