bKills;GV Hauntzer;C9 Sneaky;C9 Meteos;C9 Hai;C9 LemonNation
bKills;GV Saintvicious;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
bKills;GV Bunny FuFuu;C9 Sneaky;C9 Hai;C9 LemonNation;
bKills;GV Saintvicious;C9 Sneaky;C9 Balls;C9 Hai;C9 LemonNation
bKills;GV Keane;C9 Sneaky;C9 Balls;C9 Meteos;C9 Hai
bKills;TSM Dyrus;T8 Porpoise8;T8 CaliTrlolz8;T8 Maplestreet8;T8 Dodo8
bKills;TSM Dyrus;T8 CaliTrlolz8;T8 Porpoise8;;
bKills;TSM WildTurtle;T8 Slooshi8;T8 Maplestreet8;T8 Dodo8;
bKills;TSM Santorin;T8 Maplestreet8;T8 Porpoise8;T8 Slooshi8;T8 Dodo8
bKills;TSM Bjergsen;T8 CaliTrlolz8;;;
bKills;TSM Santorin;T8 CaliTrlolz8;T8 Slooshi8;T8 Dodo8;
bKills;TSM Dyrus;T8 Slooshi8;T8 CaliTrlolz8;T8 Porpoise8;T8 Maplestreet8
bKills;TSM WildTurtle;T8 Slooshi8;T8 CaliTrlolz8;T8 Dodo8;
bKills;TSM Lustboy;T8 Slooshi8;T8 CaliTrlolz8;T8 Porpoise8;T8 Maplestreet8
bKills;TSM Santorin;T8 Slooshi8;T8 Porpoise8;T8 Dodo8;
bKills;TSM Bjergsen;T8 Slooshi8;T8 Dodo8;;
bKills;TSM WildTurtle;T8 Slooshi8;T8 CaliTrlolz8;;
bKills;TSM Dyrus;T8 Maplestreet8;T8 Porpoise8;T8 Dodo8;
bKills;TSM Dyrus;T8 Slooshi8;T8 Porpoise8;T8 Maplestreet8;T8 Dodo8
bKills;TSM Bjergsen;T8 Slooshi8;T8 CaliTrlolz8;T8 Maplestreet8;T8 Dodo8
bKills;TSM WildTurtle;T8 CaliTrlolz8;T8 Porpoise8;T8 Slooshi8;T8 Dodo8
bKills;DIG Crumbzz;GV Keane;GV Hauntzer;GV Bunny FuFuu;
bKills;DIG Crumbzz;GV Cop;GV Saintvicious;GV Keane;
bKills;DIG Crumbzz;GV Cop;GV Saintvicious;GV Keane;GV Bunny FuFuu
bKills;DIG Shiphtur;GV Cop;GV Hauntzer;GV Saintvicious;GV Bunny FuFuu
bKills;DIG CoreJJ;GV Cop;GV Hauntzer;GV Keane;GV Bunny FuFuu
bKills;CST Cris;T8 Porpoise8;T8 CaliTrlolz8;;
bKills;CST Mash;T8 CaliTrlolz8;T8 Maplestreet8;T8 Dodo8;
