Team,ban_1,ban_2,ban_3
blueBans,Shen,Taliyah,Vladimir
blueBans,Shen,Taliyah,Vladimir
blueBans,Taliyah,Vladimir,Shen
blueBans,Taliyah,Vladimir,Shen
blueBans,Ekko,TahmKench,Bard
blueBans,Vladimir,Rumble,Karma
blueBans,TahmKench,Taliyah,Karma
blueBans,Vladimir,Rumble,Karma
blueBans,Sivir,Gnar,Vladimir
blueBans,Bard,Ekko,Olaf
blueBans,TahmKench,Vladimir,Gangplank
blueBans,Bard,Olaf,Ashe
blueBans,Bard,Sivir,Vladimir
blueBans,Rumble,TahmKench,Karma
blueBans,Rumble,TahmKench,Sivir
blueBans,Rumble,TahmKench,Vladimir
blueBans,Bard,Jhin,Gnar
blueBans,Syndra,Gnar,Olaf
blueBans,Karma,Vladimir,Sivir
blueBans,Syndra,TahmKench,Vladimir
blueBans,Karma,Sivir,Cassiopeia
blueBans,Karma,Kennen,Gangplank
blueBans,Karma,Kennen,Gangplank
blueBans,Shen,TahmKench,Gangplank
blueBans,Karma,Sivir,Vladimir
blueBans,TahmKench,Shen,Gangplank
blueBans,Sivir,Karma,Vladimir
blueBans,TahmKench,Sivir,Gragas
blueBans,Rumble,Vladimir,Sivir
blueBans,Jhin,Sivir,Cassiopeia
blueBans,Rumble,Vladimir,Sivir
blueBans,Rengar,Olaf,Janna
blueBans,Zyra,Maokai,Ryze
blueBans,Zyra,Syndra,Ryze
blueBans,Ryze,Kennen,Malzahar
blueBans,Kalista,Olaf,Zyra
blueBans,Ryze,Fiora,Camille
blueBans,Khazix,Zyra,Rengar
blueBans,Ryze,Khazix,Jayce
blueBans,Zyra,Syndra,Ryze
blueBans,Zyra,Syndra,Cassiopeia
blueBans,Zyra,Syndra,Ryze
blueBans,Syndra,LeeSin,Leblanc
blueBans,Malzahar,Fiora,Khazix
blueBans,Syndra,Khazix,Leblanc
blueBans,Syndra,Fiora,Zyra
blueBans,Zyra,Ashe,Malzahar
blueBans,Fiora,Syndra,Malzahar
blueBans,Ryze,Jayce,Khazix
blueBans,Malzahar,Ryze,Elise
blueBans,Syndra,Fiora,Nautilus
blueBans,MissFortune,Ryze,Syndra
blueBans,Syndra,Varus,Shen
blueBans,Corki,Jayce,Camille
blueBans,Ryze,Fiora,Cassiopeia
blueBans,Corki,Jayce,Camille
blueBans,Ryze,Olaf,MissFortune
blueBans,Zyra,Syndra,Corki
blueBans,Syndra,Jayce,Zyra
blueBans,Ryze,Maokai,Leblanc
blueBans,Syndra,Zyra,Jayce
blueBans,Zyra,Ryze,Malzahar
blueBans,Zyra,Ryze,Fiora
blueBans,Malzahar,Zyra,Ryze
blueBans,Maokai,Khazix,Varus
blueBans,Olaf,Elise,RekSai
blueBans,Ryze,Malzahar,Zyra
blueBans,Olaf,Elise,RekSai
blueBans,Jayce,TwistedFate,Leblanc
blueBans,LeeSin,Varus,Ryze
blueBans,Jayce,TwistedFate,Leblanc
blueBans,RekSai,Elise,Olaf
blueBans,Ryze,Zyra,Malzahar
blueBans,Varus,Syndra,Leblanc
blueBans,Ryze,LeeSin,TwistedFate
blueBans,Varus,Syndra,Leblanc
blueBans,Ryze,Maokai,Jayce
blueBans,Zyra,Malzahar,Syndra
blueBans,Camille,Ryze,Maokai
blueBans,Zyra,Ryze,Fiora
blueBans,Zyra,Ryze,LeeSin
blueBans,Zyra,Ryze,Fiora
blueBans,Zyra,Ryze,Khazix
blueBans,Ryze,LeeSin,Graves
blueBans,Ryze,Khazix,Jayce
blueBans,Khazix,Jhin,Ashe
blueBans,Ryze,Syndra,Jayce
blueBans,Maokai,Khazix,AurelionSol
blueBans,Ryze,Syndra,Jayce
blueBans,Ryze,Karma,Camille
blueBans,Malzahar,Jhin,Leblanc
blueBans,Zyra,TwistedFate,Poppy
blueBans,Jhin,Olaf,Ryze
blueBans,Jayce,Zyra,TwistedFate
blueBans,Syndra,Jayce,Zyra
blueBans,Ryze,Jayce,Khazix
blueBans,Ryze,Maokai,Ivern
blueBans,Maokai,Varus,Jayce
blueBans,Ryze,Maokai,Shen
blueBans,AurelionSol,Jayce,Leblanc
blueBans,Ryze,Jayce,Fiora
blueBans,Zyra,Jayce,Varus
blueBans,Ryze,Khazix,Maokai
blueBans,Zyra,Jayce,Corki
blueBans,Ryze,Jayce,LeeSin
blueBans,Zyra,Malzahar,Corki
blueBans,Jayce,Shen,Jhin
blueBans,Graves,Ivern,Olaf
